v183ciuo,original_v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
12222,2222,Prof. Partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12230,2230,Prof. Medicina tradicional y alternativa,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,1.0,1.0,,,,100.0,0.0,0.0,,,,,
12240,2240,Paramédicos,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12250,2250,Veterinarios,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,5.0,5.0,9.94,0.59,9.79,100.0,0.0,20.0,9.0,0.0,39.6,11.41,34.0
12260,2260,Prof. Salud,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12261,2261,Dentistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,8.0,8.0,9.32,0.53,9.41,100.0,0.0,37.5,8.5,0.87,42.75,6.94,45.5
12262,2262,Farmacéuticos,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,12.0,12.0,8.89,0.59,8.94,100.0,0.0,0.0,9.0,0.0,53.0,13.16,54.5
12263,2263,Prof. Salud e higiene laboral,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12264,2264,Fisioterapeutas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,10.0,10.0,9.23,0.8,8.99,100.0,0.0,20.0,8.14,1.46,40.71,11.74,38.0
12265,2265,Dietistas y nutricionistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,9.0,9.0,8.27,0.81,8.16,100.0,0.0,11.11,8.6,0.8,39.6,15.11,30.0
12266,2266,Audiólogos y logopedas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,10.0,10.0,8.99,0.0,8.99,100.0,0.0,40.0,9.0,0.0,49.0,12.0,49.0
12267,2267,Optometristas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12269,2269,Prof. Salud n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,10.0,10.0,8.36,0.8,8.01,100.0,0.0,60.0,5.67,2.87,43.0,19.82,30.0
12300,2300,Prof. Enseñanza gral,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,249.0,249.0,8.88,0.79,8.86,100.0,0.0,79.92,7.19,1.27,48.97,14.7,50.0
12310,2310,Prof. Universitarios y ed superior,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,61.0,61.0,9.04,0.76,9.13,100.0,0.0,96.72,8.44,1.15,51.77,14.34,53.0
12320,2320,Prof. Form. Profesional,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,10.0,10.0,8.91,0.79,8.92,100.0,0.0,90.0,7.71,1.39,54.14,17.39,52.0
12330,2330,Prof. Secundarios,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,173.0,173.0,8.69,0.68,8.7,100.0,0.0,80.35,7.44,1.2,45.7,14.46,43.0
12340,2340,Maest. Primaria y preescolar,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,1.0,1.0,9.16,0.0,9.16,100.0,0.0,0.0,9.0,0.0,30.0,0.0,30.0
12341,2341,Maest. Primaria,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,352.0,352.0,8.66,0.61,8.7,100.0,0.0,85.23,6.84,1.07,49.77,16.3,47.5
12342,2342,Maest. Preescolar,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,69.0,69.0,8.61,0.63,8.65,100.0,0.0,73.91,7.36,0.93,41.49,13.57,38.0
12350,2350,Prof. Enseñanza,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,1.0,1.0,9.54,0.0,9.54,100.0,0.0,100.0,9.0,0.0,54.0,0.0,54.0
12351,2351,Esp. Mét. Pedagógicos,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,26.0,26.0,9.08,0.86,9.45,100.0,0.0,80.77,8.13,1.12,47.78,14.01,48.0
12352,2352,Ed. Nec. Especiales,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,23.0,23.0,9.09,0.68,8.86,100.0,0.0,56.52,7.71,1.44,45.5,16.71,38.0
12353,2353,Profesores idiomas,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,24.0,24.0,8.36,0.94,8.71,100.0,0.0,37.5,7.47,1.46,48.0,16.8,49.0
12354,2354,Profesores música,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,10.0,10.0,8.74,0.24,8.78,100.0,0.0,20.0,7.33,1.37,37.83,10.24,37.0
12355,2355,Profesores arte,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,35.0,35.0,8.29,0.96,8.44,100.0,0.0,37.14,6.62,1.78,42.81,16.91,38.5
12356,2356,Inst. IT,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,6.0,6.0,8.39,0.87,8.33,100.0,0.0,66.67,6.67,1.37,43.83,13.21,42.5
12359,2359,Prof. enseñanza,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,48.0,48.0,8.07,1.08,8.23,100.0,0.0,25.0,6.79,1.55,38.33,16.17,34.0
