v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",85,6087.31,2655.0,5000.0,7840.0,14.29,85.71,3.53,3.97,42.99,38.0,-0.3195430388177316,0.0719530576390432,C0
2400,Fabricación de metales,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",48,6516.0,3082.5,6000.0,8500.0,12.5,87.5,8.33,4.33,53.0,53.0,-0.0660768643385213,0.1928191381723259,C0
2500,Fabricación de productos elaborados de metal,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",254,6760.39,3693.0,5393.0,9000.0,9.06,90.94,3.15,4.48,46.13,45.5,-0.1585375880274727,0.1185250555475295,C0
2601,Fabricación de componentes electrónicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",8,9286.75,8950.0,10173.5,10510.25,50.0,50.0,12.5,6.4,52.2,54.0,-0.1451209217622398,0.4702340747819902,C0
2603,Fabricación de equipos y aparatos de radio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",10,30000.0,30000.0,30000.0,30000.0,50.0,50.0,0.0,6.67,48.33,45.0,-0.1486371650267298,0.386818301810489,C0
2604,"Fabricación de equipos electromédicos, ópticos y de precisión ",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",1,5859.0,5859.0,5859.0,5859.0,0.0,100.0,0.0,4.0,72.0,72.0,0.6634291406421241,0.4917154701894703,C2
2700,Fabricación de Maquinaria y Equipos Eléctricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",3,7833.33,7250.0,8500.0,8750.0,0.0,100.0,0.0,6.0,30.0,31.0,0.5414951687051718,0.1013022244873531,C1
2701,Fabricación de aparatos de uso doméstico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",24,11848.76,4220.0,7000.0,20700.0,25.0,75.0,0.0,5.19,37.38,32.0,-0.1130634624854575,0.2838131801026956,C0
2709,Fabricación de otras maquinarias y equipos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",10,4450.43,3032.5,3165.0,4638.0,50.0,50.0,0.0,5.0,55.86,52.0,0.577749480086036,0.1319685296587247,C1
2800,Fabricación de maquinarias y equipos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(np.float64(0.8025535795713638), np.float64(0.7274965800273601), np.float64(0.6561787505699962), np.float64(1.0))","(np.float64(0.7995721925133692), np.float64(0.7542245989304814), np.float64(0.6305882352941181), np.float64(1.0))",13,7901.2,4472.25,5693.0,9303.75,15.38,84.62,7.69,5.45,48.45,54.0,0.6115155496771283,0.4289890333544632,C2
