v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
11431,"Ger cent. Deportivos, esparicmiento y culturales",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,6667.73,6667.73,9.16,0.29,9.21,0.0,100.0,0.0,5.77,1.78,49.98,16.79,40.0,-685.2333374023438,-133.96827697753906,C14
11439,Ger. Serv. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,19051.87,19051.87,9.41,1.08,8.67,35.82,64.18,9.78,7.58,1.57,54.17,16.69,51.5,-375.381103515625,-398.6209411621094,C13
12000,Profesionales científicos e intelectuales,2. Profesionales,1. Trabajadores  no manuales,"(0.271347, 0.040922, 0.411976, 1.0)",#DF8F44,#cccccc,26414.46,26414.46,9.19,0.43,9.21,63.22,36.78,79.09,8.92,0.28,39.14,13.14,37.5,-324.9403686523437,-339.9410705566406,C04
12100,Prof. ciencia e ingeniería,2. Profesionales,1. Trabajadores  no manuales,"(0.284321, 0.043933, 0.416608, 1.0)",#DF8F44,#cccccc,5006.61,5006.61,,,,100.0,0.0,100.0,,,,,,-618.3683471679688,498.6978759765625,C09
12111,Físicos y astrónomos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12112,Meteorólogos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,1295.0,1295.0,9.68,0.11,9.65,56.76,43.24,43.24,7.5,0.87,43.72,7.93,45.0,-828.1115112304688,-79.77745819091797,C06
12113,Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,9620.35,9620.35,8.18,0.97,9.11,94.26,5.74,36.16,7.94,0.96,42.45,16.08,42.0,-250.3263092041016,-159.99501037597656,C27
12114,Geólogos y geofísicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,1642.8,1642.8,8.87,0.1,8.93,14.3,85.7,54.24,9.0,0.0,53.16,5.29,56.0,-792.1109008789062,137.8416748046875,C22
12120,"Matemáticos, actuarios y estadísticos",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,949.0,949.0,10.17,0.0,10.17,0.0,100.0,100.0,5.0,0.0,70.0,0.0,70.0,-708.6357421875,397.82818603515625,C11
12130,Prof. Biología,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,9973.17,9973.17,,,,86.65,13.35,44.93,9.0,0.0,28.0,0.0,28.0,-544.2733154296875,385.84564208984375,C09
12131,"Biólogos, botánicos, zoólogos y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,33684.5,33684.5,9.29,0.62,9.33,88.84,11.16,68.81,8.49,0.87,54.06,21.88,46.0,-208.26998901367188,122.41374969482422,C01
12132,Agrónomos y afines,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,26281.0,26281.0,9.22,0.62,9.21,38.19,61.81,63.74,9.0,0.0,42.74,14.3,38.0,-249.83999633789065,177.7755584716797,C01
