v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y,community
12120,"Matemáticos, actuarios y estadísticos",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,26000.0,26000.0,26000.0,26000.0,0.0,100.0,100.0,5.0,70.0,70.0,-0.4236199155192779,-0.1866950864592139,C17
12130,Prof. Biología,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4,,,,,50.0,50.0,50.0,9.0,28.0,28.0,0.0942995798992533,-0.3509376544668076,C15
12131,"Biólogos, botánicos, zoólogos y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",13,13919.5,9250.0,11353.0,17606.75,69.23,30.77,53.85,8.8,48.1,46.0,0.1454959976394047,-0.2720038114145379,C15
12132,Agrónomos y afines,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",23,11654.68,5500.0,10000.0,14103.0,47.83,52.17,56.52,9.0,42.39,38.0,0.0875131021450407,-0.0621446148864615,C01
12133,Prof. Protec. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",4,10359.33,10000.0,10000.0,10539.0,0.0,100.0,75.0,7.33,35.33,38.0,-0.265863886311723,-0.2197626361575009,C09
12140,Ingenieros,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",10,8403.6,3740.0,4412.0,14466.0,30.0,70.0,60.0,9.0,54.33,57.0,-0.0612367045976831,-0.3372978650779589,C15
12141,Ing. Industriales y producción,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",6,21493.5,15495.25,18663.5,24661.75,16.67,83.33,50.0,9.0,49.0,45.5,-0.1982590889453293,-0.1491969827726456,C00
12142,Ingenieros civiles,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",24,12189.07,6250.0,8727.0,13750.0,16.67,83.33,20.83,8.88,51.35,52.0,0.1466764039881209,0.2368878863764346,C03
12143,Ing. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",1,13000.0,13000.0,13000.0,13000.0,0.0,100.0,100.0,9.0,36.0,36.0,,,C20
12145,Ing. Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)","(np.float64(0.3320027203389834), np.float64(0.059444550847457735), np.float64(0.42658534745762683), np.float64(1.0))","(np.float64(0.39527303769967964), np.float64(0.09080841341853017), np.float64(0.400474992971248), np.float64(1.0))",2,12755.5,11653.25,12755.5,13857.75,0.0,100.0,0.0,9.0,57.0,57.0,-0.3025221263757093,0.6387287549166022,C05
