v183cno,cnolabel,v183ciuo_2digits
34.3.3.2,Operadores de sistemas y/o equipos informatizados o paneles de control del transporte con calificación técnica,31
36.1.1.2,Cuenta propia sin operación de maquinarias del almacenaje con calificación técnica,31
36.2.0.2,Jefes del almacenaje con calificación técnica,31
36.3.1.2,Trabajadores sin operación de maquinarias del almacenaje con calificación técnica,31
36.3.3.2,Operadores de sistemas y/o equipos informatizados del almacenaje con calificación técnica,31
44.1.2.2,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",31
44.1.3.2,"Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",31
44.3.2.2,"Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",31
44.3.2.3,"Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación operativa",31
44.3.3.2,"Operadores de sistemas y/o equipos informatizados de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",31
44.3.3.3,"Operadores de sistemas y/o equipos informatizados de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación operativa",31
61.1.1.2,Cuenta propia sin operación de maquinarias de la producción ganadera con calificación técnica,31
61.3.1.2,Trabajadores sin operación de maquinarias de la producción ganadera con calificación técnica,31
62.1.1.2,Cuenta propia sin operación de maquinarias de la producción forestal con calificación técnica,31
62.3.1.2,Trabajadores sin operación de maquinarias de la producción forestal con calificación técnica,31
63.1.1.2,Cuenta propia sin operación de maquinarias de la producción apícola - avícola y de otras especies menores con calificación técnica,31
63.3.1.2,Trabajadores sin operación de maquinarias de la producción apícola - avícola y de otras especies menores con calificación técnica,31
64.1.1.2,Cuenta propia sin operación de maquinarias de la producción pesquera con calificación técnica,31
64.2.0.2,Jefes de la producción pesquera con calificación técnica,31
64.3.1.2,Trabajadores sin operación de maquinarias de la producción pesquera con calificación técnica,31
65.1.1.2,Cuenta propia sin operación de maquinarias de la caza con calificación técnica,31
70.1.1.2,Cuenta propia sin operación de maquinarias de la producción extractiva con calificación técnica,31
70.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción extractiva con calificación técnica,31
70.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción extractiva con calificación técnica,31
70.2.0.2,Jefes de la producción extractiva con calificación técnica,31
70.2.0.3,Jefes de la producción extractiva con calificación operativa,31
70.3.1.2,Trabajadores sin operación de maquinarias de la producción extractiva con calificación técnica,31
70.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de la producción extractiva con calificación técnica,31
70.3.3.2,Operadores de sistemas y/o equipos informatizados de la producción extractiva con calificación técnica,31
71.1.1.2,"Cuenta propia sin operación de maquinarias de la producción de energía, agua y gas con calificación técnica",31
71.1.1.3,"Cuenta propia sin operación de maquinarias de la producción de energía, agua y gas con calificación operativa",31
71.1.2.2,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción de energía, agua y gas con calificación técnica",31
71.1.2.3,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción de energía, agua y gas con calificación operativa",31
71.1.3.3,"Cuenta propia con operación de sistemas y/o equipos informatizados de la producción de energía, agua y gas con calificación operativa ",31
71.2.0.2,"Jefes de la producción con calificación profesional de energía, agua y gas con calificación técnica",31
71.2.0.3,"Jefes de la producción con calificación profesional de energía, agua y gas con calificación operativa",31
71.3.1.2,"Trabajadores sin operación de maquinarias de la producción de energía, agua y gas con calificación técnica",31
71.3.1.3,"Trabajadores sin operación de maquinarias de la producción de energía, agua y gas con calificación operativa",31
71.3.2.2,"Operadores de maquinaria y/o equipos electromecánicos de la producción de energía, agua y gas con calificación técnica",31
71.3.2.3,"Operadores de maquinaria y/o equipos electromecánicos de la producción de energía, agua y gas con calificación operativa",31
71.3.3.2,"Operadores de sistemas y/o equipos informatizados de la producción de energía, agua y gas con calificación técnica",31
71.3.3.3,"Operadores de sistemas y/o equipos informatizados de la producción de energía, agua y gas con calificación operativa",31
72.1.1.2,"Cuenta propia sin operación de maquinarias de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación técnica",31
72.2.0.2,"Jefes de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación técnica",31
72.2.0.3,"Jefes de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación operativa",31
72.3.1.2,"Trabajadores sin operación de maquinarias de la construcción edilicia, de obras de infraestructura y de redes de distribución de  energía, agua potable, gas, telefonía y petróleo con calificación técnica",31
72.3.3.2,"de energía, agua potable, gas, telefonía y petróleo con calificación profesional",31
80.1.3.2,Cuenta propia sin operación de maquinarias de la producción industrial y artesanal con calificación técnica,31
80.2.0.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción industrial y artesanal con calificación técnica,31
80.2.0.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción industrial y artesanal con calificación operativa,31
80.3.1.2,Jefes de la producción industrial y artesanal con calificación técnica,31
80.3.2.2,Trabajadores sin operación de maquinarias de la producción industrial y artesanal con calificación técnica,31
80.3.3.2,Operadores de maquinaria y/o equipos electromecánicos de la producción industrial y artesanal con calificación técnica,31
82.1.3.2,Cuenta propia sin operación de maquinarias de la reparación de bienes de consumo con calificación técnica,31
82.2.0.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la reparación de bienes de consumo con calificación operativa,31
82.3.3.2,Trabajadores sin operación de maquinarias de la reparación de bienes de consumo no calificados,31
90.1.1.2,Operadores de sistemas y/o equipos informatizados de la reparación de bienes de consumo con calificación técnica,31
90.1.2.2,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación operativa,31
90.2.0.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación operativa,31
90.3.1.2,Jefes de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación técnica,31
90.3.3.2,Operadores de maquinaria y/o equipos electromecánicos de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación operativa,31
91.1.1.2,Operadores de sistemas y/o equipos informatizados de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación profesional,31
91.1.2.3,Operadores de sistemas y/o equipos informatizados de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación técnica,31
91.2.0.2,Cuenta propia sin operación de maquinarias del desarrollo tecnológico productivo con calificación operativa,31
91.3.1.2,Jefes del desarrollo tecnológico productivo con calificación profesional,31
91.3.1.3,Jefes del desarrollo tecnológico productivo con calificación técnica,31
92.2.0.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la instalación y mantenimiento de maquinaria equipos y sistemas de la prestación de servicios con calificación profesional,31
40.1.1.2,Cuenta propia sin operación de maquinarias de la salud y sanidad con calificación técnica,32
40.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la salud y la sanidad con calificación técnica,32
40.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y la sanidad con calificación técnica,32
40.2.0.2,Jefes de salud y sanidad con calificación técnica,32
40.3.1.2,Trabajadores sin operación de maquinarias de salud y sanidad con calificación técnica,32
40.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de la salud y sanidad con calificación técnica,32
40.3.3.2,Operadores de sistemas y/o equipos informatizados y de panel de la salud y sanidad con calificación técnica,32
44.1.1.2,"Cuenta propia sin operación de maquinarias de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",32
10.1.1.2,"Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión con calificación técnica",33
10.1.2.2,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la gestión administrativa, planificación y control de gestión con calificación técnica",33
10.1.3.2,"Cuenta propia con operación de sistemas y/o equipos informatizados de la gestión administrativa, planificación y control de gestión con calificación técnica",33
10.2.0.2,"Jefes de gestión administrativa, de planificación, y control de gestión con calificación técnica",33
10.3.1.2,"Trabajadores sin operación de maquinarias de gestión administrativa, de planificación y control de gestión con calificación técnica",33
10.3.3.2,"Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación y control de gestión con calificación técnica",33
11.3.3.2,Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico legales con calificación técnica,33
20.1.1.2,"Ocupación de la gestión presupuestaria, contable y financiera con calificación técnica",33
20.1.2.2,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera con calificación técnica",33
20.1.3.2,"Cuenta propia con operación de maquinarias y/o equipos informatizados de la gestión presupuestaria, contable y financiera con calificación técnica",33
20.2.0.2,"Jefes de gestión presupuestaria, contable y financiera con calificación técnica",33
20.3.1.2,"Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera con calificación técnica",33
20.3.3.2,"Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera con calificación técnica",33
30.1.1.2,Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos) con calificación técnica,33
30.2.0.2,Jefes de la comercialización directa (tradicional y telefónicos) con calificación técnica,33
30.3.1.2,Vendedores y trabajadores sin operación de maquinarias de comercialización directa (tradicional y telefónicos) con calificación técnica,33
30.3.3.2,Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) con calificación técnica,33
31.1.1.2,"Ocupaciones de corretaje comercial, venta domiciliaria, viajantes y promotores con calificación técnica",33
31.2.0.2,Jefes de viajantes/ corredores y promotores comerciales con calificación técnica,33
31.3.1.2,"Trabajadores sin operación de maquinarias, viajantes, corredores y promotores comerciales con calificación técnica",33
32.1.1.2,Cuenta propia sin operación de maquinarias de la comercialización indirecta con calificación técnica,33
32.2.0.2,Jefes de comercialización indirecta con calificación técnico,33
32.3.1.2,Trabajadores sin operación de maquinarias de la comercialización indirecta con calificación técnica,33
32.3.3.2,Operadores de sistemas y/o equipos informatizados de la comercialización indirecta con calificación técnica,33
47.1.1.2,Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil con calificación técnica,33
47.2.0.2,Jefes de los servicios de vigilancia y seguridad civil con calificación técnica,33
47.3.1.2,Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil con calificación técnica,33
48.3.3.2,Operadores de sistemas y/o equipos informatizados de los servicios de policía con calificación técnica,33
11.1.1.2,Cuenta propia sin operación de maquinarias de la gestión jurídico legal con calificación técnica,34
11.2.0.2,Jefes de la gestión jurídico legal con calificación técnica,34
11.3.1.2,Trabajadores sin operación de maquinarias de la gestión jurídico legal con calificación técnica,34
