algorithm,resolution,score,score_type
infomap,0.11574864870826927,0.9131235419457567,NMI
infomap,0.11574864870826927,0.9484740042160829,AMI
infomap,0.11574864870826927,0.951169642001091,NMI
infomap,0.11574864870826927,0.4879484872730108,AMI
infomap,0.11574864870826927,0.5720168843704287,NMI
infomap,0.11574864870826927,0.4194199283765766,AMI
infomap,0.11574864870826927,0.5068745823996941,NMI
infomap,0.11574864870826927,0.9582029495379827,AMI
infomap,0.11574864870826927,0.9603033187065191,NMI
infomap,0.11574864870826927,0.4899597943312245,AMI
infomap,0.11574864870826927,0.5718182816395645,NMI
infomap,0.11574864870826927,0.45116694238563665,AMI
infomap,0.11574864870826927,0.5392052831669932,NMI
infomap,0.11574864870826927,0.5121962839993188,AMI
infomap,0.11574864870826927,0.5892549152798511,NMI
infomap,0.11574864870826927,0.4409895407965746,AMI
infomap,0.11574864870826927,0.5220107630515293,NMI
infomap,0.11574864870826927,0.8472233774126504,AMI
infomap,0.11574864870826927,0.8532356048637271,NMI
infomap,0.13397749677790324,0.5986112259188888,AMI
infomap,0.13397749677790324,0.6229275816852292,NMI
infomap,0.13397749677790324,0.57533236790713,AMI
infomap,0.13397749677790324,0.6020737683130457,NMI
infomap,0.13397749677790324,0.6423900415307573,AMI
infomap,0.13397749677790324,0.667915823591339,NMI
infomap,0.13397749677790324,0.7571174455142413,AMI
infomap,0.13397749677790324,0.773137498880954,NMI
infomap,0.13397749677790324,0.5796306670068883,AMI
infomap,0.13397749677790324,0.6073729851163214,NMI
infomap,0.13397749677790324,0.73816169282498,AMI
infomap,0.13397749677790324,0.7541683427126783,NMI
infomap,0.13397749677790324,0.7255977263145855,AMI
infomap,0.13397749677790324,0.7459188377891993,NMI
infomap,0.13397749677790324,0.5142196835469339,AMI
infomap,0.13397749677790324,0.557901988326858,NMI
infomap,0.13397749677790324,0.6139699114436236,AMI
infomap,0.13397749677790324,0.6404073620108721,NMI
infomap,0.13397749677790324,0.8568573270566625,AMI
infomap,0.13397749677790324,0.8654441445745187,NMI
infomap,0.13397749677790324,0.5356437526643079,AMI
infomap,0.13397749677790324,0.5703017616365084,NMI
infomap,0.13397749677790324,0.6249261975740228,AMI
