model_1,model_2,dimension,wasserstein
configuration_model_1,enhanced_configuration_model_13,0,4555.580333319829
configuration_model_1,enhanced_configuration_model_13,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_13,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_14,0,6454.470698670805
configuration_model_1,enhanced_configuration_model_14,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_14,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_15,0,4271.273154751144
configuration_model_1,enhanced_configuration_model_15,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_15,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_16,0,5109.4287091729675
configuration_model_1,enhanced_configuration_model_16,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_16,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_17,0,2278.4452352406706
configuration_model_1,enhanced_configuration_model_17,1,185.9493653232034
configuration_model_1,enhanced_configuration_model_17,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_18,0,2740.750934512943
configuration_model_1,enhanced_configuration_model_18,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_18,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_19,0,6069.884299488542
configuration_model_1,enhanced_configuration_model_19,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_19,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_20,0,3443.4555099123077
configuration_model_1,enhanced_configuration_model_20,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_20,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_21,0,3638.4212075605337
configuration_model_1,enhanced_configuration_model_21,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_21,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_22,0,6454.470698670805
configuration_model_1,enhanced_configuration_model_22,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_22,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_23,0,5814.062402294095
configuration_model_1,enhanced_configuration_model_23,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_23,2,67.88225099390857
configuration_model_1,enhanced_configuration_model_24,0,6262.531052470268
configuration_model_1,enhanced_configuration_model_24,1,181.0193359837562
configuration_model_1,enhanced_configuration_model_24,2,67.88225099390857
_hidalgo_disparity_filtration.csv,configuration_model_2,0,894.226009489054
_hidalgo_disparity_filtration.csv,configuration_model_2,1,232.10921652303952
_hidalgo_disparity_filtration.csv,configuration_model_2,2,62.22539674441619
configuration_model_2,configuration_model_3,0,75.88225099390857
configuration_model_2,configuration_model_3,1,58.18376618407357
configuration_model_2,configuration_model_3,2,17.142135623730955
configuration_model_2,configuration_model_4,0,223.40411229460642
configuration_model_2,configuration_model_4,1,58.64823227814081
configuration_model_2,configuration_model_4,2,21.798989873223334
configuration_model_2,configuration_model_5,0,17.0
configuration_model_2,configuration_model_5,1,45.30508652763321
configuration_model_2,configuration_model_5,2,18.970562748477143
configuration_model_2,configuration_model_6,0,43.0
configuration_model_2,configuration_model_6,1,81.19800875462535
configuration_model_2,configuration_model_6,2,18.55634918610405
configuration_model_2,configuration_model_7,0,25.0
configuration_model_2,configuration_model_7,1,42.57059175665586
configuration_model_2,configuration_model_7,2,33.16295090390227
configuration_model_2,configuration_model_8,0,18.0
configuration_model_2,configuration_model_8,1,51.920310216782966
configuration_model_2,configuration_model_8,2,10.606601717798215
configuration_model_2,configuration_model_9,0,149.93607486307096
configuration_model_2,configuration_model_9,1,41.64823227814083
configuration_model_2,configuration_model_9,2,33.28427124746191
configuration_model_2,configuration_model_10,0,41.0
configuration_model_2,configuration_model_10,1,91.35438694890807
configuration_model_2,configuration_model_10,2,40.30508652763317
configuration_model_2,configuration_model_11,0,102.88225099390857
configuration_model_2,configuration_model_11,1,87.37834864212427
configuration_model_2,configuration_model_11,2,57.982756057296825
configuration_model_2,configuration_model_12,0,223.40411229460642
configuration_model_2,configuration_model_12,1,73.86143571373727
configuration_model_2,configuration_model_12,2,12.313708498984763
configuration_model_2,configuration_model_13,0,87.46803743153548
configuration_model_2,configuration_model_13,1,77.12489168102782
configuration_model_2,configuration_model_13,2,25.455844122715696
configuration_model_2,configuration_model_14,0,105.46803743153548
configuration_model_2,configuration_model_14,1,57.81432959508793
configuration_model_2,configuration_model_14,2,50.91168824543141
configuration_model_2,configuration_model_15,0,82.46803743153548
configuration_model_2,configuration_model_15,1,34.99137802864845
configuration_model_2,configuration_model_15,2,14.606601717798215
configuration_model_2,configuration_model_16,0,123.05382386916237
configuration_model_2,configuration_model_16,1,43.87772754602111
configuration_model_2,configuration_model_16,2,33.23401871576772
configuration_model_2,configuration_model_17,0,74.88225099390857
configuration_model_2,configuration_model_17,1,33.213203435596434
configuration_model_2,configuration_model_17,2,10.606601717798215
configuration_model_2,configuration_model_18,0,90.76093065034893
configuration_model_2,configuration_model_18,1,55.1269409427599
configuration_model_2,configuration_model_18,2,19.38477631085024
configuration_model_2,configuration_model_19,0,15.0
configuration_model_2,configuration_model_19,1,42.04163056034261
configuration_model_2,configuration_model_19,2,27.870057685088803
configuration_model_2,configuration_model_20,0,120.88225099390857
configuration_model_2,configuration_model_20,1,51.86348497546929
configuration_model_2,configuration_model_20,2,34.23401871576771
configuration_model_2,configuration_model_21,0,91.05382386916237
configuration_model_2,configuration_model_21,1,76.84829029449824
configuration_model_2,configuration_model_21,2,8.071067811865476
configuration_model_2,configuration_model_22,0,112.46803743153548
configuration_model_2,configuration_model_22,1,82.5182899632296
configuration_model_2,configuration_model_22,2,16.8492424049175
configuration_model_2,configuration_model_23,0,90.05382386916237
configuration_model_2,configuration_model_23,1,63.19143604500586
configuration_model_2,configuration_model_23,2,18.67766952966369
