nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
87.0,1.0,4802,15221,956.0,2,2,8.347827345782498,49.0,2.0
87.0,1.0,8401,13340,956.0,1,1,8.060224240440958,55.0,2.0
87.0,1.0,4000,17112,956.0,1,2,,25.0,3.0
88.0,1.0,5601,19412,588.0,2,2,8.214465160759186,36.0,5.0
89.0,1.0,5601,15120,520.0,2,2,8.83331693749932,41.0,3.0
89.0,1.0,4000,17112,520.0,1,2,6.962243464266207,46.0,4.0
89.0,1.0,5601,19412,520.0,2,2,,26.0,4.0
89.0,1.0,5601,15120,520.0,2,2,,21.0,5.0
89.0,1.0,5601,19412,520.0,2,2,,18.0,5.0
90.0,1.0,7302,13320,562.0,1,2,9.040974526342444,25.0,4.0
90.0,1.0,6900,14311,562.0,1,2,,66.0,7.0
90.0,1.0,1009,14120,562.0,2,2,,60.0,5.0
90.0,1.0,5601,15120,562.0,1,2,8.347827345782498,26.0,5.0
90.0,1.0,9700,19111,562.0,2,2,,28.0,3.0
91.0,1.0,8401,13513,722.0,1,1,8.214465160759186,41.0,5.0
92.0,1.0,4807,15223,579.0,1,2,8.570923513837204,34.0,5.0
92.0,1.0,4804,15223,579.0,2,2,8.060224240440958,31.0,8.0
93.0,1.0,4807,13322,495.0,1,2,6.962243464266207,45.0,7.0
93.0,1.0,8501,11345,495.0,2,1,8.060224240440958,43.0,7.0
94.0,1.0,4000,17131,464.0,1,2,8.347827345782498,52.0,5.0
94.0,1.0,8501,12330,464.0,1,2,,29.0,9.0
94.0,1.0,8200,14222,464.0,1,2,,26.0,9.0
95.0,1.0,8402,10310,482.0,1,1,9.158731238242952,25.0,6.0
95.0,1.0,8402,10310,482.0,2,1,9.158731238242952,24.0,6.0
96.0,1.0,8401,14416,447.0,2,1,8.666302614004078,32.0,9.0
96.0,1.0,4807,15223,447.0,1,2,,29.0,5.0
97.0,1.0,4000,17112,466.0,1,2,8.570923513837204,77.0,4.0
97.0,1.0,8600,12634,466.0,2,2,8.060224240440958,80.0,9.0
98.0,1.0,1009,17512,796.0,1,2,8.294299608857235,52.0,3.0
98.0,1.0,9700,15311,796.0,2,2,,45.0,2.0
98.0,2.0,1009,17512,646.0,1,2,6.90875477931522,29.0,2.0
98.0,2.0,4804,15223,646.0,2,2,,27.0,3.0
98.0,3.0,8000,15414,486.0,2,2,,23.0,2.0
98.0,3.0,1009,17512,486.0,1,2,7.601402334583733,30.0,2.0
99.0,1.0,2500,17221,594.0,1,2,8.294299608857235,50.0,3.0
99.0,1.0,9700,19111,594.0,2,2,,39.0,3.0
99.0,1.0,2500,17221,594.0,1,2,,20.0,5.0
99.0,1.0,4000,17112,594.0,1,2,,18.0,4.0
100.0,1.0,8600,15321,458.0,2,2,8.006700845440367,39.0,2.0
101.0,1.0,4000,17112,487.0,1,1,6.90875477931522,35.0,3.0
102.0,1.0,4805,19333,1190.0,1,2,8.517393171418904,31.0,3.0
103.0,1.0,2900,19112,616.0,2,2,8.006700845440367,34.0,3.0
103.0,1.0,4000,17121,616.0,1,2,,15.0,1.0
104.0,1.0,4000,17112,1401.0,1,2,7.601402334583733,30.0,2.0
104.0,1.0,5601,19412,1401.0,2,2,,24.0,4.0
105.0,1.0,4808,19112,1291.0,1,2,8.556606193773073,32.0,2.0
105.0,1.0,4808,15223,1291.0,2,2,,25.0,2.0
106.0,1.0,8509,13423,446.0,1,2,,29.0,8.0
107.0,1.0,8501,12310,592.0,1,1,8.071218539969863,35.0,9.0
108.0,1.0,4000,17112,388.0,1,2,8.294299608857235,51.0,2.0
109.0,1.0,9700,15311,482.0,2,2,8.188966863648876,63.0,3.0
109.0,1.0,4000,17112,482.0,1,2,8.188966863648876,23.0,2.0
109.0,1.0,4804,15221,482.0,2,2,6.90875477931522,35.0,3.0
110.0,1.0,1009,18183,391.0,2,2,7.696667081526462,82.0,2.0
111.0,1.0,4804,15223,576.0,2,2,6.249975242259483,30.0,5.0
111.0,1.0,4904,18332,576.0,1,2,8.987321812850125,32.0,5.0
112.0,1.0,800,17233,473.0,1,2,8.922791623969637,52.0,7.0
112.0,1.0,9700,15322,473.0,2,2,7.601402334583733,50.0,3.0
113.0,1.0,8501,12300,466.0,1,1,8.24301946898925,61.0,8.0
113.0,1.0,8600,13230,466.0,2,2,,51.0,4.0
114.0,1.0,4000,17411,573.0,1,1,8.006700845440367,48.0,7.0
114.0,1.0,5500,19112,573.0,2,2,,44.0,4.0
115.0,1.0,4810,19520,637.0,2,2,8.152198015861787,43.0,5.0
115.0,1.0,4000,17112,637.0,1,2,8.006700845440367,43.0,5.0
115.0,1.0,4808,15230,637.0,2,2,8.405367376233981,24.0,4.0
115.0,1.0,4000,17112,637.0,1,2,6.90875477931522,18.0,4.0
116.0,1.0,800,15414,675.0,1,2,8.987321812850125,50.0,5.0
117.0,1.0,9700,15311,384.0,2,2,8.071218539969863,60.0,1.0
118.0,1.0,8501,12300,326.0,2,2,8.81001204797317,51.0,9.0
118.0,1.0,3200,17317,326.0,2,2,,20.0,8.0
119.0,1.0,101,16111,342.0,1,2,8.24301946898925,64.0,5.0
119.0,1.0,8501,12359,342.0,2,1,8.517393171418904,56.0,9.0
120.0,1.0,4501,13340,789.0,2,2,5.303304908059076,22.0,8.0
121.0,1.0,4801,13322,739.0,1,2,,39.0,4.0
121.0,1.0,4808,15230,739.0,2,2,7.972810784121404,65.0,3.0
122.0,1.0,4000,13333,558.0,1,2,8.006700845440367,53.0,4.0
122.0,1.0,9000,19112,558.0,1,2,8.006700845440367,34.0,4.0
123.0,1.0,5800,13322,1166.0,1,2,7.601402334583733,47.0,7.0
124.0,1.0,8600,12212,623.0,2,1,6.90875477931522,80.0,9.0
125.0,1.0,101,18332,507.0,1,2,8.987321812850125,63.0,4.0
129.0,1.0,102,16121,1274.0,1,2,8.77971129020447,62.0,2.0
129.0,1.0,4803,15221,1274.0,2,2,8.716207971151853,54.0,2.0
130.0,1.0,8501,12330,1707.0,1,1,9.24483841238375,37.0,7.0
130.0,1.0,4803,17511,1707.0,2,2,8.517393171418904,67.0,4.0
132.0,1.0,8600,15153,504.0,2,1,8.160803920954665,51.0,3.0
132.0,1.0,4000,17112,504.0,1,2,7.601402334583733,59.0,3.0
132.0,1.0,4000,17115,504.0,1,2,7.313886831633462,24.0,4.0
132.0,1.0,4000,17112,504.0,1,2,7.313886831633462,23.0,4.0
133.0,1.0,8402,15414,582.0,2,1,7.496097345175956,48.0,2.0
134.0,1.0,1009,19333,687.0,1,2,9.210440366976515,33.0,5.0
135.0,1.0,1009,17233,564.0,1,2,9.105090961257083,62.0,3.0
135.0,1.0,4803,15221,564.0,1,2,8.517393171418904,26.0,5.0
135.0,1.0,4803,15223,564.0,1,2,7.601402334583733,20.0,5.0
135.0,1.0,4802,15221,564.0,1,2,6.90875477931522,17.0,4.0
136.0,1.0,4000,17112,402.0,1,2,7.824445930877619,63.0,3.0
136.0,1.0,9700,15311,402.0,2,2,7.090909822079984,61.0,2.0
136.0,2.0,9700,19111,769.0,2,2,7.80016307039296,39.0,4.0
137.0,1.0,8501,12330,372.0,1,2,8.853808274977197,59.0,9.0
137.0,1.0,6900,14220,372.0,2,2,8.006700845440367,52.0,5.0
138.0,1.0,4000,17112,757.0,1,2,8.071218539969863,23.0,2.0
138.0,1.0,9700,19111,757.0,2,2,6.821107472256465,22.0,4.0
139.0,1.0,6800,17110,294.0,1,2,8.294299608857235,28.0,4.0
139.0,1.0,9700,19111,294.0,2,2,7.6093665379542115,28.0,4.0
140.0,1.0,104,19211,490.0,1,2,6.90875477931522,30.0,2.0
141.0,1.0,1600,19329,396.0,1,2,9.305741456739437,31.0,8.0
142.0,1.0,4800,15221,353.0,1,2,8.517393171418904,57.0,3.0
143.0,1.0,2309,18100,468.0,1,2,9.04793908261736,38.0,5.0
143.0,1.0,1009,17512,468.0,2,2,8.006700845440367,29.0,5.0
144.0,1.0,7900,15113,428.0,1,1,8.575650760987806,43.0,9.0
144.0,1.0,4000,17112,428.0,2,2,8.294299608857235,28.0,5.0
145.0,1.0,4800,15221,1359.0,1,2,9.61587214452889,47.0,9.0
145.0,1.0,8600,12634,1359.0,2,2,8.699681400989514,43.0,9.0
146.0,1.0,6400,13320,996.0,1,2,9.210440366976515,36.0,5.0
146.0,1.0,8401,12619,996.0,2,1,9.105090961257083,39.0,9.0
147.0,1.0,8600,13256,1786.0,2,1,9.105090961257083,35.0,9.0
147.0,1.0,4502,17231,1786.0,1,2,8.294299608857235,33.0,5.0
148.0,1.0,8600,12212,712.0,2,1,9.711176264112805,42.0,9.0
148.0,1.0,3501,13343,712.0,2,2,9.210440366976515,73.0,7.0
149.0,1.0,1800,11321,965.0,1,2,9.105090961257083,56.0,9.0
149.0,1.0,8501,12330,965.0,2,1,9.61587214452889,50.0,9.0
150.0,1.0,4801,12262,6824.0,2,2,8.987321812850125,65.0,9.0
150.0,1.0,8401,14110,6824.0,1,1,8.853808274977197,75.0,9.0
152.0,1.0,2500,17543,1482.0,1,2,9.235130540783402,32.0,8.0
153.0,1.0,4503,15223,2936.0,1,2,9.405166749908611,37.0,8.0
153.0,1.0,4804,15223,2936.0,2,2,,28.0,8.0
154.0,1.0,4000,17112,448.0,1,2,,36.0,4.0
154.0,1.0,9700,19111,448.0,2,2,,31.0,9.0
155.0,1.0,9700,15311,597.0,2,2,8.24301946898925,49.0,3.0
155.0,1.0,4502,17422,597.0,1,2,8.006700845440367,23.0,8.0
155.0,1.0,2202,18143,597.0,2,2,8.006700845440367,27.0,8.0
156.0,1.0,4000,17112,108.0,1,2,,28.0,2.0
157.0,1.0,4000,17112,221.0,1,2,,37.0,2.0
157.0,1.0,1009,17512,221.0,2,2,7.193685818395112,30.0,3.0
158.0,1.0,4000,17115,517.0,1,2,7.601402334583733,35.0,4.0
158.0,1.0,9700,15311,517.0,2,2,6.90875477931522,25.0,2.0
159.0,1.0,8401,15419,716.0,1,1,8.412054873292933,45.0,7.0
159.0,1.0,8101,19613,716.0,2,4,,30.0,2.0
160.0,1.0,4903,18322,436.0,1,2,7.824445930877619,55.0,3.0
160.0,2.0,4903,18322,570.0,1,1,8.006700845440367,28.0,4.0
161.0,1.0,2000,14321,257.0,1,2,8.987321812850125,63.0,1.0
161.0,1.0,1700,18113,257.0,2,2,,60.0,3.0
161.0,1.0,5601,15120,257.0,2,2,7.378383712996714,31.0,5.0
162.0,1.0,3800,19611,354.0,1,1,7.601402334583733,28.0,2.0
162.0,1.0,8800,14110,354.0,2,1,6.90875477931522,23.0,4.0
163.0,1.0,101,16111,372.0,2,1,8.131824785007195,29.0,4.0
163.0,2.0,4000,17112,384.0,1,2,7.696667081526462,56.0,7.0
165.0,1.0,4801,15243,1300.0,2,2,7.824445930877619,50.0,4.0
165.0,1.0,7900,14221,1300.0,1,2,8.79497643168877,55.0,5.0
165.0,1.0,4807,15223,1300.0,2,2,8.294299608857235,21.0,5.0
166.0,1.0,6800,13334,787.0,1,2,9.235130540783402,55.0,9.0
167.0,1.0,5601,15221,1137.0,2,2,9.90353755128617,38.0,7.0
168.0,1.0,6800,13334,1385.0,1,2,10.138599199626192,50.0,9.0
169.0,1.0,8401,12000,852.0,2,1,7.824445930877619,37.0,9.0
169.0,1.0,8401,14226,852.0,1,1,8.294299608857235,27.0,6.0
170.0,1.0,1400,15223,790.0,2,2,7.937731775260109,76.0,3.0
171.0,1.0,7301,13431,540.0,2,2,,57.0,8.0
171.0,1.0,8600,12211,540.0,1,2,10.275085591132717,66.0,9.0
172.0,1.0,4904,18331,806.0,1,2,,27.0,4.0
172.0,1.0,8600,12211,806.0,2,1,9.105090961257083,25.0,9.0
173.0,1.0,5601,19412,1639.0,2,2,7.496097345175956,42.0,5.0
173.0,1.0,2400,17212,1639.0,1,2,,22.0,3.0
174.0,1.0,8401,14225,668.0,2,1,,43.0,3.0
175.0,1.0,8501,11345,1919.0,2,1,7.596392304064196,68.0,7.0
175.0,1.0,4800,15221,1919.0,1,2,7.824445930877619,61.0,3.0
175.0,1.0,4800,15221,1919.0,1,2,8.699681400989514,35.0,7.0
176.0,1.0,9700,15311,2147.0,2,2,7.596392304064196,73.0,2.0
176.0,1.0,3501,17411,2147.0,1,2,8.294299608857235,43.0,5.0
176.0,1.0,5201,19333,2147.0,1,2,6.90875477931522,36.0,5.0
177.0,1.0,2701,17212,838.0,1,2,9.105090961257083,33.0,4.0
