nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
423,,9700,15322,1339.521175,2,2,,NaN,
424,,8401,13412,1466.901606,2,1,,NaN,
425,,4502,17231,470.6904392,1,2,,NaN,
426,,4802,13122,700.4185269,1,2,,NaN,
427,,4502,17213,631.70074,1,2,,NaN,
428,,4803,15221,1518.396799,1,2,,NaN,
429,,5300,18322,1628.028747,1,2,,NaN,
430,,8402,10310,1359.905064,1,1,,NaN,
431,,4000,17413,740.6748254,1,2,,NaN,
432,,4000,17112,987.8980987,1,2,,NaN,
433,,4807,19520,1361.916671,1,2,,NaN,
434,,4904,18332,1197.324893,1,2,,NaN,
435,,102,19212,835.2118622,1,2,,NaN,
436,,8501,12341,1542.906552,2,1,,NaN,
438,,8600,19111,1405.848693,2,2,,NaN,
439,,6500,14120,841.2735518,2,2,,NaN,
440,,8501,12341,1598.848499,2,1,,NaN,
441,,8800,12635,1384.902273,2,1,,NaN,
442,,4808,15223,583.5147289,2,2,,NaN,
443,,8501,12300,835.157325,2,1,,NaN,
444,,1009,15212,434.4183492,2,2,,NaN,
445,,8101,15151,397.9093076,2,2,,NaN,
446,,4803,15221,168.5821292,2,2,,NaN,
447,,8501,12300,1117.20288,2,2,,NaN,
448,,3501,12411,960.1730779,2,2,,NaN,
449,,9602,15141,3485.259873,2,2,,NaN,
450,,8401,15414,4674.746019,1,1,,NaN,
453,,9700,19111,2000.319452,2,2,,NaN,
454,,4000,19313,3576.966849,1,2,,NaN,
455,,4903,18331,4411.443088,1,1,,NaN,
457,,4807,15223,5875.220824,2,2,,NaN,
458,,9700,15311,1848.789928,2,2,,NaN,
459,,5601,19412,4166.387336,1,1,,NaN,
460,,8501,12359,855.7299645,2,2,,NaN,
461,,9700,19111,6337.231938,2,2,,NaN,
462,,4000,17212,6757.470093,1,2,,NaN,
463,,4808,15230,4317.280765,2,2,,NaN,
464,,8501,12341,11549.52955,2,1,,NaN,
466,,9700,19111,2987.130871,2,2,,NaN,
467,,4808,15221,5788.476906,2,2,,NaN,
468,,9700,19111,22194.55302,2,2,,NaN,
469,,1400,17531,4287.615903,2,2,,NaN,
470,,8800,19412,5348.622336,2,1,,NaN,
471,,9700,15322,7475.764532,2,2,,NaN,
472,,9700,19111,2380.236117,2,2,,NaN,
473,,5601,19411,2074.670308,2,2,,NaN,
474,,6900,14110,14485.94464,1,2,,NaN,
475,,9700,19111,2309.813116,2,2,,NaN,
476,,8600,13221,3577.043296,2,1,,NaN,
477,,4807,15222,2653.661174,2,2,,NaN,
478,,5601,15120,9212.100762,1,2,,NaN,
479,,5800,12642,951.2251067,2,2,,NaN,
480,,9700,15311,453.8481001,2,2,,NaN,
481,,1502,12163,841.3477681,2,2,,NaN,
483,,6900,12411,869.9063307,2,2,,NaN,
484,,4803,17511,878.2224066,1,2,,NaN,
485,,8501,12300,890.8007319,2,2,,NaN,
486,,8501,11345,1262.5342,2,1,,NaN,
487,,9700,19111,376.3637283,2,2,,NaN,
488,,4803,17511,878.2224066,1,2,,NaN,
489,,4000,17111,28956.90839,1,2,,NaN,
490,,9700,19111,1910.050458,2,2,,NaN,
491,,1009,17512,3678.315625,1,2,,NaN,
492,,4804,15221,9951.957457,2,2,,NaN,
493,,9700,19111,2900.78502,2,2,,NaN,
494,,8401,13355,6564.247821,1,1,,NaN,
495,,9503,17533,1902.17705,2,2,,NaN,
496,,4000,17112,5898.33344,1,2,,NaN,
497,,4808,15221,2279.396171,2,2,,NaN,
498,,9700,19111,5497.172707,2,2,,NaN,
499,,9700,19111,3202.632514,2,2,,NaN,
500,,9700,15322,2423.200775,2,2,,NaN,
501,,9700,19111,4057.513604,2,2,,NaN,
502,,9700,15322,2017.835449,2,2,,NaN,
503,,5100,13434,1695.399942,2,2,,NaN,
504,,9602,15142,1473.871238,2,2,,NaN,
505,,1001,17511,5683.362075,1,2,,NaN,
507,,9700,19111,2306.534482,2,2,,NaN,
508,,4000,18332,1341.788948,1,2,,NaN,
509,,9700,15322,3187.216692,2,2,,NaN,
510,,4503,15223,1424.008399,2,2,,NaN,
511,,8101,19112,1912.541539,2,2,,NaN,
512,,8101,18157,563.6683824,2,2,,NaN,
513,,9503,13115,2537.146846,1,2,,NaN,
514,,9700,19111,6015.587428,2,2,,NaN,
515,,4800,15230,3321.157164,2,2,,NaN,
516,,7800,14313,1890.190026,2,2,,NaN,
517,,4000,17112,1926.238242,1,2,,NaN,
518,,4803,17511,8345.847624,1,2,,NaN,
519,,8402,15412,5264.992809,1,1,,NaN,
520,,8700,15322,1439.438938,2,2,,NaN,
521,,8101,15414,4149.205358,1,2,,NaN,
522,,4800,15221,2548.452457,1,2,,NaN,
523,,2400,18121,4968.672964,1,2,,NaN,
524,,8600,14419,3601.217743,2,2,,NaN,
526,,9700,19111,2180.539289,2,2,,NaN,
527,,4808,19334,3739.256091,1,2,,NaN,
528,,8501,19412,5589.925807,2,1,,NaN,
530,,4904,18332,3031.9815,1,2,,NaN,
531,,8501,15321,1310.196144,2,1,,NaN,
532,,4502,17213,4244.268196,1,2,,NaN,
533,,2202,17411,1629.817703,1,2,,NaN,
534,,4804,15223,983.0404558,2,2,,NaN,
535,,4804,15223,3002.601189,2,2,,NaN,
536,,9700,19111,1255.123968,2,2,,NaN,
537,,8600,12411,10217.25053,2,1,,NaN,
538,,9700,19111,13315.89385,2,2,,NaN,
540,,9700,19111,6841.122543,2,2,,NaN,
541,,4807,15221,5542.563051,2,2,,NaN,
542,,9700,19111,6744.335972,2,2,,NaN,
543,,4804,15211,10741.2228,2,2,,NaN,
544,,2900,18211,23024.01125,1,2,,NaN,
545,,9409,19112,10360.08443,2,4,,NaN,
546,,8401,14110,4614.455979,2,1,,NaN,
547,,1300,18151,1895.408776,2,2,,NaN,
548,,5500,19112,1294.676618,2,2,,NaN,
549,,8800,15120,2112.202492,2,3,,NaN,
551,,4904,18322,1696.345575,2,2,,NaN,
552,,4803,17511,1364.468334,1,2,,NaN,
553,,8102,19214,2487.39811,1,2,,NaN,
554,,4807,19520,699.8654968,2,2,,NaN,
555,,8501,12330,1395.582367,2,2,,NaN,
559,,8501,12341,1292.178005,2,1,,NaN,
560,,4803,15223,826.7213763,2,1,,NaN,
561,,9503,17311,608.3113674,1,2,,NaN,
562,,4000,19313,922.727233,1,4,,NaN,
563,,5601,15131,1916.716055,2,4,,NaN,
564,,9700,19111,1552.64354,2,2,,NaN,
565,,4803,15230,2588.285194,2,2,,NaN,
566,,1400,17531,2076.284394,2,2,,NaN,
567,,1400,17531,1224.356593,2,1,,NaN,
568,,4807,15223,295.0671093,2,2,,NaN,
569,,3100,15221,2754.737362,2,2,,NaN,
570,,1400,15221,1989.338641,2,2,,NaN,
571,,4807,14313,2141.944268,2,2,,NaN,
572,,8501,15153,1452.237815,2,1,,NaN,
573,,5601,15120,1386.297841,2,2,,NaN,
574,,8102,19214,762.8923528,1,2,,NaN,
575,,5601,15120,1825.235155,2,2,,NaN,
576,,3501,17413,147.8456747,1,2,,NaN,
577,,9700,19111,320.6116993,2,2,,NaN,
578,,8501,12330,1244.329882,2,1,,NaN,
579,,8509,12353,298.955239,2,2,,NaN,
580,,4804,17533,1580.610215,2,2,,NaN,
581,,8501,19412,728.4305902,2,1,,NaN,
582,,9700,19111,1340.822805,2,2,,NaN,
583,,8509,12353,579.6234495,2,2,,NaN,
584,,9200,14311,520.2620488,2,1,,NaN,
585,,8501,19112,581.5618042,2,1,,NaN,
586,,8101,19111,476.6882933,2,2,,NaN,
587,,8600,12634,3426.97818,2,2,,NaN,
588,,8800,15322,504.79914,2,2,,NaN,
589,,9700,19111,823.8788616,2,2,,NaN,
