algorithm,resolution,num_communities,seed,modularity
infomap,4.481404746557166,11,50469,0.522486492977205
infomap,4.481404746557166,12,2110,0.5121835619156686
infomap,4.481404746557166,13,9373,0.5055882125967412
infomap,4.481404746557166,12,3289,0.5124920563032098
infomap,4.481404746557166,12,54621,0.5129481424772763
infomap,4.481404746557166,13,21588,0.5074475133735604
infomap,4.481404746557166,12,23019,0.5086928460427725
infomap,4.481404746557166,13,57408,0.5142697001909439
infomap,4.481404746557166,12,18144,0.5212559070729847
infomap,5.187165437288158,15,43667,0.5070393424759313
infomap,5.187165437288158,13,55824,0.5113444787390471
infomap,5.187165437288158,13,14480,0.5071867179269826
infomap,5.187165437288158,12,57991,0.5173804104034152
infomap,5.187165437288158,14,54596,0.5130397199417367
infomap,5.187165437288158,13,50180,0.5120465045617033
infomap,5.187165437288158,12,50469,0.5221552678175064
infomap,5.187165437288158,13,2110,0.5139852802506238
infomap,5.187165437288158,14,9373,0.5116642936254203
infomap,5.187165437288158,13,3289,0.513777361103104
infomap,5.187165437288158,13,54621,0.506532551454356
infomap,5.187165437288158,15,21588,0.5034077091289139
infomap,5.187165437288158,13,23019,0.5074570067517187
